,neighborhood,licenses
0,Allston,16
1,Back Bay,36
2,Bay Village,2
3,Beacon Hill,8
4,Brighton,9
5,Charlestown,5
6,Chinatown,11
7,Dorchester,16
8,Downtown,59
9,East Boston,16
10,Fenway,24
11,Hyde Park,3
12,Jamaica Plain,12
13,Leather District,2
14,Longwood,1
15,Mattapan,1
16,Mission Hill,2
17,North End,29
18,Roslindale,4
19,Roxbury,4
20,South Boston,13
21,South Boston Waterfront,18
22,South End,20
23,West End,9
24,West Roxbury,6
