BUSINESSNAME,ISSDTTM,EXPDTTM,LICCAT,CAPACITY,STNO,Address,Location,Lat,Long,geometry,neighborhood
"DARTCOM, LLC",11/12/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,124,154,  Commonwealth AV,"(42.351284, -71.078648)",42.35168166666666,-71.07785133333333,POINT (-71.07785133333333 42.35168166666666),Back Bay
"BL RESTAURANT OPERATIONS, LLC",11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,179,121,  Brookline AV,"(42.34575, -71.10049)",42.3457414,-71.10033059999999,POINT (-71.10033059999999 42.3457414),Fenway
"30 TRAVELER, LLC",11/27/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,0,360, Harrison Av,"(0.0, 0.0)",42.344743333333334,-71.06379066666669,POINT (-71.06379066666669 42.34474333333333),South End
"BARCELONA SOUTH END, LLC",11/22/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,172,525,  Tremont ST,"(42.344859, -71.070789)",42.3444755,-71.070965,POINT (-71.070965 42.3444755),South End
VAN LIN CORP,11/22/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,205,241,  A ST,"(42.346569, -71.051069)",42.34678292145063,-71.0511093332366,POINT (-71.0511093332366 42.34678292145063),South Boston Waterfront
"ZESKER, INC.",11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,170,99,  Broad ST,"(0.0, 0.0)",42.35718665,-71.05254938029495,POINT (-71.05254938029495 42.35718665),Downtown
"CARDONA'S, INC.",11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,62,299,  Havre ST,"(42.376526, -71.033798)",42.375925714285714,-71.0345872857143,POINT (-71.0345872857143 42.37592571428571),East Boston
"BARRACUDA TAVERN, INC.",11/19/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,60,10,  Bosworth ST,"(42.356881, -71.060299)",42.3569,-71.06016600000001,POINT (-71.06016600000001 42.3569),Downtown
"BASEBALL TAVERN, INC.",11/29/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,541,1270,  Boylston ST,"(42.344648, -71.096299)",42.34488194332687,-71.09630146900787,POINT (-71.09630146900787 42.34488194332687),Fenway
BASHO FENWAY VENTURES LLC,11/15/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,194,1330, Boylston St,"(0.0, 0.0)",42.34399915,-71.09847246172475,POINT (-71.09847246172475 42.34399915),Fenway
"49 MELCHER RESTAURANT GROUP, LLC",11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,460,49,  Melcher ST,"(42.34942, -71.05037)",42.3493872,-71.05037339958923,POINT (-71.05037339958923 42.3493872),South Boston Waterfront
"BATTERY PARK LOUNGE AND RESTAURANT GROUP, LLC",11/29/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,159,33,  BATTERYMARCH ST,"(0.0, 0.0)",42.35704325931022,-71.05359700856731,POINT (-71.05359700856731 42.35704325931022),Downtown
"STATE ROOM, INC.",11/20/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,835,60,  State ST,"(42.35927, -71.05643)",42.35922935,-71.05642886016267,POINT (-71.05642886016267 42.35922935),Downtown
"MONDAY AFTERNOON, INC.",11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,268,149,  Charles ST,"(42.360479, -71.070569)",42.3604302,-71.070636,POINT (-71.07063599999999 42.3604302),Beacon Hill
"BOSWORTH PLACE, INC.",11/19/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,249,100,  Tremont ST,"(42.357232, -71.060979)",42.35715820000001,-71.0607809,POINT (-71.0607809 42.35715820000001),Downtown
"WHEELING'S BAR, LLC",11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,360,541, Tremont St,"(0.0, 0.0)",42.344207857142855,-71.071338,POINT (-71.071338 42.34420785714286),South End
SLESAR BROTHERS BREWING COMPANY,11/25/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,595,112, Canal St,"(0.0, 0.0)",42.364473,-71.0603412,POINT (-71.0603412 42.364473),West End
Bella Arianna LLC,11/29/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,160,107,  South ST,"(42.351401, -71.05752)",42.35161835384615,-71.05738435897436,POINT (-71.05738435897436 42.35161835384615),Leather District
OLD COLONIAL CORPORATION,11/14/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,496,45,  Union ST,"(42.3616, -71.05706)",42.36144,-71.057027,POINT (-71.05702700000001 42.36144),Downtown
"BELLA LUNA RESTAURANT, INC.",11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,200,284, Amory St,"(42.314637, -71.104489)",42.3143773,-71.1040468,POINT (-71.10404680000001 42.3143773),Jamaica Plain
"111 SALEM GROUP, INC.",11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,40,111,  Salem ST,"(0.0, 0.0)",42.3642982,-71.0554599,POINT (-71.0554599 42.3642982),North End
BERTUCCI'S RESTAURANT CORP.,11/15/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,219,533,  Commonwealth AV,"(42.34923, -71.09661)",42.348682139353286,-71.09646963880304,POINT (-71.09646963880304 42.34868213935329),Fenway
"UVM.,INC.",11/22/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,57,141,  Pearl ST,"(0.0, 0.0)",42.35463775,-71.05373842168814,POINT (-71.05373842168814 42.35463775),Downtown
"FUENTE CLEANING SERVICES, INC.",11/19/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,49,28, Bennington St,"(0.0, 0.0)",42.375726275,-71.0368936,POINT (-71.0368936 42.375726275),East Boston
"CONCORDE ENTERTAINMENT, INC.",11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,907,9,  Lansdowne ST,"(42.347341, -71.095081)",42.347345399999995,-71.0951514,POINT (-71.09515140000001 42.34734539999999),Fenway
"CUISINE DE ASIA, INC.",11/12/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,90,240,  Commercial ST,"(0.0, 0.0)",42.36385679999999,-71.05148390269478,POINT (-71.05148390269478 42.36385679999999),North End
"BEACON HILL HOSPITALITY GROUP, INC.",11/25/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Malt Wine,64,20,  Charles ST,"(42.35664, -71.06994)",42.356663299999994,-71.0699291,POINT (-71.0699291 42.35666329999999),Beacon Hill
 ,02/05/2015 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,87,254, Bennington St,"(0.0, 0.0)",42.37861155,-71.02936817524717,POINT (-71.02936817524717 42.37861155),East Boston
"HM BOSTON, LLC",11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,208,272,  Boylston ST,"(42.351859, -71.069669)",42.313794721996786,-71.10068138630339,POINT (-71.10068138630339 42.31379472199679),Jamaica Plain
"THE BLACK ROSE, INC.",11/25/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,413,160, State St,"(0.0, 0.0)",42.3594126,-71.0536973,POINT (-71.0536973 42.3594126),Downtown
CHELSEA CITY SQUARE CORP.,11/27/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,214,1,  Chelsea ST,"(42.3712, -71.061707)",42.370048,-71.038467,POINT (-71.038467 42.370048),East Boston
"J & K BLASI, INC.",11/27/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,100,762, Adams St,"(0.0, 0.0)",42.283876,-71.05546433333333,POINT (-71.05546433333333 42.283876),Dorchester
"EQUINOX SC BOSTON, INC.",11/25/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,168,4, Avery St,"(42.35307, -71.06292)",42.3531469,-71.0630373,POINT (-71.0630373 42.3531469),Downtown
"WATER DRAGON, LLC",11/27/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,99,324, A St,"(42.349391, -71.049735)",42.3493416,-71.04963944275094,POINT (-71.04963944275094 42.3493416),South Boston Waterfront
MARATHON FOOD LLC,11/13/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Malt Wine,26,389, Centre St,"(0.0, 0.0)",42.322241299999995,-71.1095921,POINT (-71.1095921 42.32224129999999),Jamaica Plain
ARGUETAS CORPORATION,11/27/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,31,30,  Bennington ST,"(42.37539, -71.038018)",42.37570145,-71.0369598,POINT (-71.03695980000001 42.37570145),East Boston
 ,01/20/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Malt Wine,58,1138,  Blue Hill AV,"(42.285777, -71.09125)",42.3048452,-71.0848265,POINT (-71.08482650000001 42.3048452),Roxbury
BOSTON & MAINE FISH COMPANY,11/13/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Malt Wine,23,200,  Faneuil Hall Marketplace  ,"(42.360199, -71.054798)",42.36005485,-71.05460485041264,POINT (-71.05460485041264 42.36005485),Downtown
"CAFE JAFFA, INC.",11/06/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Malt Wine,56,48,  Gloucester ST,"(42.348681, -71.084102)",42.3486892,-71.08406740000001,POINT (-71.08406740000001 42.3486892),Back Bay
"BOSTON ATHLETIC CLUB, INC.",11/25/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,101,653,  Summer ST,"(42.33981, -71.04354)",42.33980445,-71.04353534027027,POINT (-71.04353534027027 42.33980445),South Boston Waterfront
"SLESAR BROS. BREWING COMPANY, INC.",11/22/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,420,61,  Brookline AV,"(42.347163, -71.099081)",42.3469999,-71.09898869999999,POINT (-71.09898869999999 42.3469999),Fenway
"FIRST BOSTON TEN PIN, INC.",12/11/2014 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc Restr,250,820,  William T Morrissey BLVD,"(42.29388, -71.04627)",42.2941374539789,-71.04728811929266,POINT (-71.04728811929266 42.2941374539789),Dorchester
BEANTOWN BURGER COMPANY,11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Malt Wine,52,1100,  Boylston ST,"(42.346842, -71.088506)",42.346850399999994,-71.0884838,POINT (-71.08848380000001 42.34685039999999),Fenway
"BOSTON URBAN HOSPITALITY, INC.",11/21/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,181,1375, Washington St,"(0.0, 0.0)",42.2620157,-71.15640570000001,POINT (-71.15640570000001 42.2620157),West Roxbury
"THE CLUB AT BOSTON COLLEGE, INC.",11/07/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,361,100,  Federal ST,"(42.35477, -71.05613)",42.3550559,-71.05595722374801,POINT (-71.05595722374801 42.3550559),Downtown
MUSEUM OF SCIENCE,11/22/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,3957,1, Science Pk,"(0.0, 0.0)",42.3667494,-71.06781679999999,POINT (-71.06781679999999 42.3667494),West End
"BOSTON CULINARY GROUP, INC.",11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,2677,539,  Washington ST,"(42.353999, -71.06237)",42.29302663636364,-71.071945,POINT (-71.071945 42.29302663636364),Dorchester
IRENE NGUYEN,03/25/2014 12:00:00 AM,12/31/2016 12:00:00 AM,Malt Wine,140,1221,  Dorchester AV,"(42.30906, -71.05839)",42.30794367000625,-71.0584528477909,POINT (-71.0584528477909 42.30794367000625),Dorchester
"KUN JIN KIM, INDIVIDUAL",11/29/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,98,827,  Boylston ST,"(42.34897, -71.08257)",42.34893220000001,-71.0825485,POINT (-71.0825485 42.34893220000001),Back Bay
"BOSTON STREET, INC.",11/25/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,84,224,  Boston ST,"(42.322272, -71.060848)",42.32214375,-71.0610015,POINT (-71.0610015 42.32214375),Dorchester
"BOSTON TEA PARTY SHIP, INC",11/14/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,499,306,  Congress ST,"(0.0, 0.0)",42.3521988,-71.05130390000001,POINT (-71.05130390000001 42.3521988),
B.T.U.H.W.F. SERVICE CORPORATION,11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,1031,180,  Mount Vernon ST,"(42.322135, -71.046901)",42.32205095,-71.04716765211269,POINT (-71.04716765211269 42.32205095),Dorchester
"CLOVER VENTURES, LLC",11/15/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,427,131,  State ST,"(42.358974, -71.054235)",42.35915742857143,-71.05448457142856,POINT (-71.05448457142856 42.35915742857143),Downtown
GOODCHEER ENTERPRISES LLC,11/27/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,369,29, Stanhope St,"(0.0, 0.0)",42.3485372,-71.0730371,POINT (-71.07303709999999 42.3485372),Back Bay
"NEW PETE'S, LLC",11/27/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,331,267, Franklin St,"(0.0, 0.0)",42.356626285714285,-71.05357357142857,POINT (-71.05357357142857 42.35662628571428),Downtown
"GINA GUERRERO, INDIVIDUAL",11/12/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,36,102,  Meridian ST,"(42.37273, -71.0392)",42.3727313,-71.03925661208079,POINT (-71.03925661208079 42.3727313),East Boston
"Bred Winner, LLC",11/30/2015 12:00:00 AM,12/31/2016 12:00:00 AM,Malt Wine,0,2255, Dorchester Av,"(0.0, 0.0)",42.27349409420357,-71.06784218408322,POINT (-71.06784218408322 42.27349409420357),Mattapan
"THE BREWER'S FORK, LLC",11/25/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,115,29, Bunker Hill St,"(0.0, 0.0)",42.376768169309344,-71.05709330573319,POINT (-71.05709330573319 42.37676816930934),Charlestown
"STRETFORD END, INC.",11/22/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,476,158, Brighton Av,"(0.0, 0.0)",42.35292963286939,-71.13261884417258,POINT (-71.13261884417258 42.35292963286939),Allston
SAHA-PAKEE CORP.,11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Malt Wine,107,1033,  Commonwealth AV,"(42.352262, -71.121849)",42.3521499,-71.12195809999999,POINT (-71.12195809999999 42.3521499),Allston
"111, LLC",11/25/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,110,111,  Dartmouth ST,"(42.346447, -71.075281)",42.3464338,-71.0753432,POINT (-71.07534320000001 42.3464338),South End
BUK KYUNG CORP.,11/20/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,62,151,  Brighton AV,"(0.0, 0.0)",42.35295141363873,-71.13279602195212,POINT (-71.13279602195212 42.35295141363873),Allston
"MANRAJ, INC.",11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,60,701,  Centre ST,"(42.311537, -71.114558)",42.3115692,-71.11453890000001,POINT (-71.11453890000001 42.3115692),Jamaica Plain
"MONTANUS, INC.",11/27/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Malt Wine,49,50,  Dalton ST,"(42.347065, -71.085643)",42.347213200000006,-71.08540970000001,POINT (-71.08540970000001 42.34721320000001),Back Bay
HAMPSHIRE HOUSE CORPORATION,11/19/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,569,84,  Beacon ST,"(42.355981, -71.071299)",42.3559525,-71.07125759999998,POINT (-71.07125759999998 42.3559525),Beacon Hill
"BIC BURGERS SPRING STREET, LLC",11/29/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Malt Wine,103,77,  Spring ST,"(42.277765, -71.16403)",42.277312306122454,-71.16488436734693,POINT (-71.16488436734693 42.27731230612245),West Roxbury
BIC Burgers Commonwealth LLC,11/29/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Malt Wine,110,961,  Commonwealth AV,"(42.35192, -71.11908)",42.3520884,-71.11910288344623,POINT (-71.11910288344623 42.3520884),Allston
"C & H, INC.",11/14/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,193,252,  Western AV,"(42.363164, -71.132799)",42.36326690095688,-71.13284054624826,POINT (-71.13284054624826 42.36326690095688),Allston
REINA HENRIQUEZ,11/19/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc Restr,19,80,  Bennington ST,"(42.37608, -71.0361)",42.375080825,-71.03861479999998,POINT (-71.03861479999998 42.375080825),East Boston
"CAFFÉ DELLO SPORT, INC.",11/29/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,75,308,  Hanover ST,"(0.0, 0.0)",42.3642471,-71.0541324,POINT (-71.0541324 42.3642471),North End
"CAFFE PARADISO, INC.",11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,130,255,  Hanover ST,"(42.363223, -71.054789)",42.36327822222223,-71.05487755555555,POINT (-71.05487755555555 42.36327822222223),North End
"CAFFE VITTORIA, INC.",11/19/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,181,296,  Hanover ST,"(42.36414, -71.05435)",42.36321265306122,-71.05559585714286,POINT (-71.05559585714286 42.36321265306122),North End
"HUNTINGTON THEATRE COMPANY, INC.",11/22/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Malt Wine,929,527, Tremont St,"(0.0, 0.0)",42.344649,-71.070593,POINT (-71.070593 42.344649),South End
"CALIFORNIA PIZZA KITCHEN,INC.",11/25/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,175,800,  Boylston ST,"(42.347296, -71.081457)",42.3471718,-71.08250628733232,POINT (-71.08250628733232 42.3471718),Back Bay
"J. P. PARTNERS, INC.",11/08/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,150,435,S Huntington AV,"(42.31979, -71.112)",42.31979175,-71.11201272803878,POINT (-71.11201272803878 42.31979175),Jamaica Plain
"FFC, INC.",03/16/2016 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,180,346, Hanover St,"(0.0, 0.0)",42.364967,-71.0534245,POINT (-71.05342450000001 42.364967),North End
"443 BROADWAY, LLC",11/22/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,360,439,W Broadway ,"(42.33615, -71.04718)",42.33629283242488,-71.04712786600638,POINT (-71.04712786600638 42.33629283242488),South Boston
"READVILLE TAVERN, INC.",11/25/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,85,11,  Wolcott CT,"(42.237865, -71.131859)",42.23779331280408,-71.13173357561563,POINT (-71.13173357561563 42.23779331280408),Hyde Park
"CARLO'S CUCINA ITALIANA, INC.",11/29/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,48,131,  Brighton AV,"(42.353088, -71.131159)",42.352815,-71.13171264285714,POINT (-71.13171264285714 42.352815),Allston
"SCHIAFFO, INC.",11/22/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,38,307,  Hanover ST,"(42.36388, -71.05416)",42.3640518,-71.0540612,POINT (-71.05406120000001 42.3640518),North End
"CROKE PARK, INC.",11/29/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,67,268,W Broadway ,"(42.339275, -71.051191)",42.339219373129076,-71.05128604075766,POINT (-71.05128604075766 42.33921937312908),South Boston
"JACKEENS, INC.",11/25/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,358,11,  Beacon ST,"(42.35838, -71.06178)",42.3583818,-71.061713,POINT (-71.061713 42.3583818),Downtown
"DU FOURS, INC.",11/21/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,104,30,  Gloucester ST,"(42.349444, -71.084498)",42.3494382,-71.0845647,POINT (-71.0845647 42.3494382),Back Bay
711 CENTRE LLC,11/29/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,58,711,  Centre ST,"(42.311378, -71.114669)",42.3113581,-71.11461109999999,POINT (-71.11461109999999 42.3113581),Jamaica Plain
"OLIVER TWIST, INC.",11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,960,62, Brookline Av,"(0.0, 0.0)",42.347316,-71.098196,POINT (-71.098196 42.347316),Fenway
"WEST END DINING, LLC",11/27/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,199,65,  Causeway ST,"(42.364444, -71.062676)",42.36457585714286,-71.06269885714286,POINT (-71.06269885714286 42.36457585714286),West End
"PARK AVENUE GROUP, INC.",11/18/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,157,1406,  Hyde Park AV,"(42.25062, -71.12573)",42.250560899999996,-71.12586429999999,POINT (-71.12586429999999 42.2505609),Hyde Park
"OZNEMOC, INC.",11/22/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,394,12,  Lagrange ST,"(42.351434, -71.063278)",42.27331460605453,-71.14418316447866,POINT (-71.14418316447866 42.27331460605453),West Roxbury
"BOSTON CULINARY GROUP, INC.",11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,5443,290,  Northern AV,"(0.0, 0.0)",42.34850265,-71.03594064313016,POINT (-71.03594064313016 42.34850265),South Boston Waterfront
"O&M PARTNERS, LLC",11/29/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,96,1664, Dorchester Av,"(42.293958, -71.06222)",42.2934803867454,-71.06202990844388,POINT (-71.06202990844388 42.2934803867454),Dorchester
"FACILITY CONCESSION SERVICES, INC.",11/25/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,871,74,  Warrenton ST,"(42.34996, -71.06617)",42.34976462154177,-71.0663344002148,POINT (-71.0663344002148 42.34976462154177),Downtown
"CHAU CHOW CITY, INC.",11/22/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,552,81,  Essex ST,"(42.35241, -71.06026)",42.37951370193645,-71.07037552964022,POINT (-71.07037552964022 42.37951370193645),Charlestown
HAMPSHIRE HOUSE CORPORATION,11/19/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,301,29,  Faneuil Hall SQ,"(0.0, 0.0)",42.3601809,-71.056504,POINT (-71.056504 42.3601809),Downtown
NEW TIMES GROUP CORPORATION,11/21/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,40,30,  Massachusetts AV,"(42.35037, -71.08902)",42.3504266,-71.0890446,POINT (-71.08904459999999 42.3504266),Back Bay
"HAPPY DUCK, INC.",11/19/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Malt Wine,78,829,  Boylston ST,"(42.34894, -71.08267)",42.348913,-71.08264270000001,POINT (-71.08264270000001 42.348913),Back Bay
"MW & W, INC.",11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,645,9,  Tyler ST,"(42.351085, -71.060788)",42.351025899999996,-71.0607541,POINT (-71.0607541 42.3510259),Chinatown
"CORREIA, INC.",11/27/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,80,257,  Norfolk AV,"(42.323726, -71.068078)",42.324661,-71.068895,POINT (-71.068895 42.324661),Roxbury
"DURIAN CAFE, INC.",12/09/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Malt Wine,46,187, Main St,"(0.0, 0.0)",42.37593085714286,-71.06482785714286,POINT (-71.06482785714286 42.37593085714286),Charlestown
"SOUTH END JOINT VENTURE III (SEJV III), GENERAL PARTNERSHIP",11/22/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc Restr,300,490,  Harrison AV,"(42.342141, -71.065789)",42.34218,-71.06584433333333,POINT (-71.06584433333333 42.34218),South End
"CITY TAP HOUSE FORT POINT, LLC",11/25/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,0,22,  Boston Wharf RD,"(42.35045, -71.046974)",42.35043815,-71.04698594908186,POINT (-71.04698594908186 42.35043815),South Boston Waterfront
MCBOIS LIMITED,12/01/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,40,278,  Shawmut AV,"(42.342938, -71.06889)",42.343019692307685,-71.0689276923077,POINT (-71.0689276923077 42.34301969230768),South End
"MILE 22, INC.",11/29/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,240,1958,  BEACON ST,"(0.0, 0.0)",42.33631857049252,-71.149640310387,POINT (-71.149640310387 42.33631857049252),Brighton
"A.T.G., INC.",11/25/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,349,331,  Columbus AV,"(42.346243, -71.0752)",42.3460947027027,-71.07514018918918,POINT (-71.07514018918918 42.3460947027027),South End
BALTARY CORP.,11/21/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,90,342,W Broadway ,"(0.0, 0.0)",42.33825262175001,-71.04981492632083,POINT (-71.04981492632083 42.33825262175001),South Boston
"Clover Fast Food, Inc.",11/20/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,0,27, School St,"(42.35772, -71.05907)",42.357701,-71.0591519,POINT (-71.0591519 42.357701),Downtown
BHC CORPORATION GENERAL PARTNER,11/14/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,433,209,  Columbus AV,"(42.348549, -71.07237)",42.34860125,-71.07234395,POINT (-71.07234395 42.34860125),Back Bay
"COLUMBUS PARTNERS, INC.",11/08/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,70,329,  Columbus AV,"(42.34632, -71.075098)",42.346127054054044,-71.07509978378378,POINT (-71.07509978378378 42.34612705405404),South End
"1844, INC.",11/27/2013 12:00:00 AM,12/31/2016 12:00:00 AM,Malt Wine,26,1844,  Centre ST,"(42.28632, -71.154101)",42.2978789,-71.13028249999999,POINT (-71.13028249999999 42.2978789),Roslindale
"PIER 50, LLC",12/01/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,237,50, Northern Av,"(0.0, 0.0)",42.35347279999999,-71.0462789,POINT (-71.0462789 42.35347279999999),South Boston Waterfront
"BKW PARTNERS, INC.",11/19/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,123,329,  Huntington AV,"(42.340923, -71.08819)",42.26664275,-71.1168025,POINT (-71.11680250000001 42.26664275),Hyde Park
"ONE HUNDRED SEVENTY THREE MILK ST.,INC.",11/25/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,203,171,  Milk ST,"(42.35827, -71.0533)",42.3583073,-71.05329499999999,POINT (-71.05329499999999 42.3583073),Downtown
VERVEINE CORP.,11/25/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,40,253,  Shawmut AV,"(0.0, 0.0)",42.343392,-71.06863100000001,POINT (-71.06863100000001 42.343392),South End
"CORNER CAFE, INC..",11/25/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,32,87,  Prince ST,"(42.36561, -71.05597)",42.3123089,-71.12119139524674,POINT (-71.12119139524674 42.3123089),Jamaica Plain
"CHIN FAMILY, LLC",11/27/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,54,162, Lincoln St,"(0.0, 0.0)",42.3580019090909,-71.14033627272727,POINT (-71.14033627272727 42.3580019090909),Brighton
"BRAEMORE LOUNGE, INC.",11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,170,652,  Beacon ST,"(0.0, 0.0)",42.34928094736842,-71.09559878947368,POINT (-71.09559878947368 42.34928094736842),Fenway
"CONEY ISLAND BAR, INC.",11/18/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,180,396,  Market ST,"(42.3499, -71.15277)",42.34995,-71.152902,POINT (-71.152902 42.34995),Brighton
"LAGRANGE LOUNGE AND RESTAURANT, INC.",11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,All Alc,250,2022,  Centre ST,"(42.280802, -71.157911)",42.281164144619034,-71.1580060440617,POINT (-71.15800604406169 42.28116414461903),West Roxbury
