,BUSINESSNAME,ISSDTTM,EXPDTTM,LICCAT,LICCATDESC,CAPACITY,STNO,Address,Location,5,Final_Lat,Final_Long,geometry,neighborhood,ltype
398,"GUIRA & TAMBORA, LLC",11/15/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7MW,CV7 Malt Wine,49,4014.0,  Washington ST,"(42.291827, -71.122157)","-71.12202,42.29216",42.291827,-71.122157,POINT (-71.122157 42.291827),Roslindale,Malt Wine
399,"HALEY HOUSE, INC.",11/19/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7MWR,CV7 Malt Wine Restrict.,28,12.0, Dade St,"(0.0, 0.0)","-71.082214,42.331917",42.331917,-71.082214,POINT (-71.08221399999999 42.331917),Roxbury,Malt Wine Restrict.
400,E.P.E. CORPORATION,11/20/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7MW,CV7 Malt Wine,188,115.0, Causeway St,"(0.0, 0.0)",,,,POINT (nan nan),West End,Malt Wine
401,"H AND H, LLC",11/15/2013 12:00:00 AM,12/31/2016 12:00:00 AM,INNAL,Inn. All Alc.,0,185.0,  State ST,"(0.0, 0.0)","-71.052895,42.35944",42.35944,-71.052895,POINT (-71.05289500000001 42.35944),Downtown,All Alc.
402,"HARD ROCK CAFE INTERNATIONAL (STP), INC.",11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7AL,CV7 All Alc.,680,20.0,  Clinton ST,"(42.360961, -71.054946)","-71.05536,42.360695",42.360961,-71.054946,POINT (-71.054946 42.360961),Downtown,All Alc.
403,GALMIKE CORP.,11/29/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7AL,CV7 All Alc.,299,1099.0, Dorchester Av,"(0.0, 0.0)",,,,POINT (nan nan),Dorchester,All Alc.
404,"CITY ROADHOUSE, INC.",12/01/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7AL,CV7 All Alc.,146,1430.0,  Commonwealth AV,"(0.0, 0.0)","-71.14005,42.348354",42.348354,-71.14005,POINT (-71.14005 42.348354),Allston,All Alc.
405,"142 Berkeley, LLC",11/27/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7AL,CV7 All Alc.,153,142.0,  Berkeley ST,"(42.348822, -71.072098)","-71.07196,42.348938",42.348822,-71.072098,POINT (-71.072098 42.348822),Back Bay,All Alc.
406,HARU PRUDENTIAL CORP.,11/29/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7AL,CV7 All Alc.,195,800.0,  Boylston ST,"(42.347296, -71.081457)","-71.08232,42.348755",42.347296,-71.081457,POINT (-71.081457 42.347296),Back Bay,All Alc.
407,"BEACON FINE DINING, INC.",11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7AL,CV7 All Alc.,190,310.0,  Cambridge ST,"(42.36093, -71.06901)","-71.06883,42.361076",42.36093,-71.06901,POINT (-71.06901000000001 42.36093),Beacon Hill,All Alc.
