BUSINESSNAME,ISSDTTM,EXPDTTM,LICCAT,LICCATDESC,CAPACITY,STNO,Address,Location,Lat,Long
"PHO LE, LLC",01/12/2015 12:00:00 AM,12/31/2016 12:00:00 AM,CV7ALN,CV7ALN - Neighborhood Restricted,99,1356,  Dorchester AV,"(42.3044, -71.058961)",42.30445957142857,-71.05901585714287
"PASTEUR RESTAURANT II, INC.",11/15/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7MW,CV7 Malt Wine,86,682, Washington St,"(42.351393, -71.062629)",42.3514781,-71.0626786
HUY HOANG CORP.,02/04/2015 12:00:00 AM,12/31/2016 12:00:00 AM,CV7MWN,CV7MWN - Neighborhood Restricted,60,223,  Adams ST,"(42.301468, -71.060031)",42.3015918,-71.05994709999999
"PRANZINI, INC.",03/31/2016 12:00:00 AM,12/31/2016 12:00:00 AM,CV7AL,CV7 All Alc.,77,226,  Newbury ST,"(42.34971, -71.08124)",42.3497201,-71.081244
"B&T, LLC",11/22/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7MW,CV7 Malt Wine,60,530,  Tremont ST,"(42.344517, -71.07018)",42.34456380889495,-71.0703939214734
"TOW PIER 6 RESTAURANT GROUP, LLC.",11/26/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7AL,CV7 All Alc.,325,1, Eighth St,"(42.373172, -71.050092)",42.3730678,-71.0499784
LISA DIPRIZIO,11/22/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7MWL,CV7 Malt Wine Liq.,99,981,  Bennington ST,"(42.386267, -71.007379)",42.38584701343066,-71.0088276750512
"North End Pomodoro of Boston, Inc.",11/08/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7MW,CV7 Malt Wine,22,204,  Hanover ST,"(42.362833, -71.055718)",42.3628225,-71.055628
THE BLUES CORPORATION,11/22/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7AL,CV7 All Alc.,120,338,  Washington ST,"(42.348901, -71.152529)",42.348988,-71.1523972
"PORTO BELLO, INC.",11/25/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7MWL,CV7 Malt Wine Liq.,24,672,E Broadway ,"(42.3358, -71.03763)",42.335766250000006,-71.03764151082044
"PREZZA, INC.",11/19/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7AL,CV7 All Alc.,98,24,  Fleet ST,"(42.36467, -71.05276)",42.364687950000004,-71.05272703176317
"PUEBLO VIEJO PUPUSERIA & MEXICAN GRILL II, INC.",11/12/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7MWL,CV7 Malt Wine Liq.,60,309,  Bennington ST,"(42.378888, -71.027796)",42.379015777777774,-71.02763914814814
"GAGANDEEP, INC.",11/18/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7MW,CV7 Malt Wine,38,109,  Brighton AV,"(42.35302, -71.13052)",42.35271040909091,-71.13079295454546
PUSHCART CAFE,11/22/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7MWL,CV7 Malt Wine Liq.,48,115,  Salem ST,"(42.364414, -71.055372)",42.364434,-71.055414
Qdoba Restaurant Corporation,11/29/2013 12:00:00 AM,12/31/2016 12:00:00 AM,CV7MW,CV7 Malt Wine,92,17,  Forsyth ST,"(42.340107, -71.091002)",42.34076360869565,-71.09100504347826
