,neighborhood,LAND_SF,YR_BUILT,YR_REMOD,AV_LAND,AV_BLDG,AV_TOTAL,GROSS_TAX,LAND_SF,GROSS_AREA,LIVING_AREA,U_INT_CND,AC_final,HEAT_TYP,Tax_Exempt,PPSQFT
0,Beacon Hill,844.2,1885.4,1987.2,214150.0,747080.0,961230.0,1013136.4,844.2,2081.5,1778.8,2.7,0.4,5.6,0.0,849.9476061584598
0,Beacon Hill,1233.5,1908.8,1992.9,100790.0,766340.0,867130.0,913955.0,1233.5,1411.8,1147.9,2.6,0.7,4.2,0.0,834.4685919638769
0,Beacon Hill,1209.8,1903.5,1991.5,159190.0,898863.0,1058053.0,1115188.0,1209.8,2239.2,1990.4,1.7,0.8,4.5,0.0,693.6436473666314
0,Beacon Hill,865.9,1929.5,1987.7,108300.0,528530.0,636830.0,671219.0,865.9,1402.2,1201.4,1.3,0.6,4.9,0.0,760.5177060771608
0,Beacon Hill,1037.7,1521.1,1986.0,266450.0,843690.0,1110140.0,1170087.7,1037.7,2284.0,1881.0,1.8,1.0,4.9,0.0,175855.53112766013
0,Beacon Hill,761.6,1905.7,1590.8,301360.0,585340.0,886700.0,934581.8,761.6,2202.6,1787.6,0.4,0.8,4.2,0.0,486.80430701788555
0,Beacon Hill,1600.6,1905.4,2002.6666666666667,732440.0,1262900.0,1995340.0,2773106.3,1600.6,5200.7,3827.1,0.1,1.2,2.2,0.0,473.3011099978512
0,Beacon Hill,830.3,1903.8,1986.2,0.0,456020.0,456020.0,480645.0,830.3,572.1,572.1,2.0,0.4,0.8,0.0,813.0112569743599
0,Beacon Hill,1589.2,1924.1,2007.875,66650.0,1260360.0,1327010.0,1398668.6,1589.2,1494.5,1398.2,1.6,1.1,2.1,0.0,917.3006242127148
0,Beacon Hill,930.3,1882.0,1785.3,0.0,806080.0,806080.0,849608.4,930.3,930.3,930.3,2.3,1.0,1.9,0.0,881.0635418906865
0,Beacon Hill,1387.5,1913.8,1997.7,207390.0,617040.0,824430.0,868949.2,1387.5,2113.9,1825.5,1.3,0.9,4.2,0.0,664.7775199432785
0,Beacon Hill,1369.6,1879.9,1995.8,288738.0,1212177.2,1500915.2,1581964.7,1369.6,2022.0,1847.0,1.6,0.3,5.2,0.0,765.4778198901299
