,Unnamed: 0,neighborhood,LAND_SF,YR_BUILT,YR_REMOD,AV_LAND,AV_BLDG,AV_TOTAL,GROSS_TAX,LAND_SF.1,GROSS_AREA,LIVING_AREA,U_INT_CND,AC_final,HEAT_TYP,Tax_Exempt,PPSQFT,n_count,Third_count
1234,0,South Boston,1610.2,1743.4,398.6,104010.0,616360.0,720370.0,759270.0,1610.2,2295.5,1818.3,0.2,0.3,2.8,0.0,4006.135215250597,10015.0,3338.0
1235,0,South Boston,1332.7,1988.0,0.0,0.0,577460.0,577460.0,608643.0,1332.7,1085.2,1085.2,3.0,0.0,0.0,0.0,531.5930775696321,10015.0,3338.0
1236,0,South Boston,1196.0,1555.2,1002.2,9140.0,404060.0,413200.0,435512.9,1196.0,820.0,820.0,2.2,-0.2,0.7,0.0,9545.946854733036,10015.0,3338.0
1237,0,South Boston,1412.9,1774.8,399.5,91750.0,582110.0,673860.0,710248.5,1412.9,1921.2,1441.8,1.0,0.5,2.8,0.0,20250.291138523356,10015.0,3338.0
1238,0,South Boston,873.9,1982.4,803.0,56770.0,466170.0,522940.0,551178.8,873.9,1130.5,913.6,1.4,0.5,1.4,0.0,507.27269722178886,10015.0,3338.0
1239,0,South Boston,794.4,1539.6,994.2,59630.0,320620.0,380250.0,400783.6,794.4,1069.1,783.9,0.6,0.1,1.0,0.0,6565.164825506072,10015.0,3338.0
1240,0,South Boston,1118.4,1559.9,1004.4,54010.0,508300.0,562310.0,592675.0,1118.4,1449.2,1153.6,1.0,0.1,2.5,0.0,4340.389093859916,10015.0,3338.0
1241,0,South Boston,19392.9,1761.7,401.1,3075478.4,7330708.1,10406186.5,11174218.9,19392.9,43977.3,33260.8,-0.2,0.0,2.2,0.0,83947.43855507589,10015.0,3338.0
1242,0,South Boston,3835.8,1954.6,1202.8,193390.0,570040.0,763430.0,1194100.6,3835.8,2702.0,2458.6,1.4,0.3,2.1,0.0,416.47611120658087,10015.0,3338.0
1243,0,South Boston,881.2,1950.2,1200.6,0.0,371430.0,371430.0,391487.5,881.2,878.7,838.7,2.7,0.6,1.8,0.0,440.4895594473795,10015.0,3338.0
1244,0,South Boston,869.2,1929.6,1002.2,27130.0,402510.0,429640.0,452840.7,869.2,1279.1,1077.8,2.0,0.4,2.1,0.0,435.99687353475133,10015.0,3338.0
1245,0,South Boston,1098.1,1918.2,1601.5,66710.0,541400.0,608110.0,640948.0,1098.1,1919.9,1376.6,0.0,0.4,5.0,0.0,385.31889499365764,10015.0,3338.0
1246,0,South Boston,1056.2,1730.7,1399.6,56970.0,375180.0,432150.0,455486.1,1056.2,1482.1,1176.0,0.6,0.2,2.8,0.0,3267.907577168841,10015.0,3338.0
1247,0,South Boston,993.1,1970.1,1204.5,28200.0,451770.0,479970.0,505888.6,993.1,1270.1,1193.1,0.9,0.3,0.9,0.0,439.0408075950982,10015.0,3338.0
1248,0,South Boston,723.4,1747.7,1005.2,0.0,458870.0,458870.0,483649.1,723.4,706.7,706.7,1.9,0.8,0.8,0.0,4582.2640420350845,10015.0,3338.0
1249,0,South Boston,1195.0,1904.5,2002.3,104680.0,603970.0,708650.0,746917.3,1195.0,2315.4,1703.4,0.1,0.0,2.8,0.0,410.60471819844236,10015.0,3338.0
1250,0,South Boston,1312.7,1927.3,1197.7,124480.0,480940.0,605420.0,638112.8,1312.7,1805.9,1482.4,0.3,0.3,2.4,0.0,464.4097262490776,10015.0,3338.0
1251,0,South Boston,1165.4,1929.7,1194.2,100228.0,610687.0,710915.0,749304.6,1165.4,2302.9,1701.7,0.0,0.2,3.7,0.0,385.4135453463604,10015.0,3338.0
1252,0,South Boston,893.5,1919.5,1605.7,13290.0,518360.0,531650.0,560359.2,893.5,1004.3,906.8,2.2,1.0,2.5,0.0,568.0757508629583,10015.0,3338.0
1253,0,South Boston,1541.9,1913.2,1403.2,158460.0,661130.0,819590.0,863848.0,1541.9,2326.1,1845.6,1.4,0.3,3.3,0.0,473.08170781056,10015.0,3338.0
1254,0,South Boston,2926.7,1748.7,1002.4,89240.0,713200.0,802440.0,759870.9,2926.7,2794.1,2362.9,0.6,0.4,0.5,0.1,4356.875615939817,10015.0,3338.0
1255,0,South Boston,943.6,1739.9,1801.0,27780.0,498110.0,525890.0,554288.1,943.6,1171.9,1030.3,1.2,0.3,2.3,0.0,3263.7524806669157,10015.0,3338.0
1256,0,South Boston,504.8,1890.0,1991.3,0.0,293190.0,293190.0,309022.3,504.8,504.8,504.8,0.9,0.0,3.7,0.0,582.7954912234661,10015.0,3338.0
1257,0,South Boston,557.7,1905.6,2000.1,12380.0,383530.0,395910.0,417289.2,557.7,705.0,685.1,1.4,0.5,4.0,0.0,641.4932572969326,10015.0,3338.0
1258,0,South Boston,1225.1,1986.0,604.9,0.0,599250.0,599250.0,631609.6,1225.1,1205.4,1205.4,2.4,0.8,3.3,0.0,555.4513717078507,10015.0,3338.0
1259,0,South Boston,913.2,1904.6,1604.5,50084.0,446968.0,497052.0,523893.0,913.2,1411.6,1069.8,1.4,0.5,2.9,0.0,436.3655173399861,10015.0,3338.0
1260,0,South Boston,1301.6,1929.0,1606.8,109130.0,613800.0,722930.0,680936.9,1301.6,2022.8,1462.5,0.4,0.4,1.6,0.1,446.44591222138223,10015.0,3338.0
1261,0,South Boston,1197.5,1929.2,799.7,104460.0,422760.0,527220.0,555690.0,1197.5,1683.5,1109.6,-0.8,0.3,2.4,0.0,321.14565823741736,10015.0,3338.0
1262,0,South Boston,1199.1,1730.3,1401.8,67480.0,475210.0,542690.0,571995.2,1199.1,1768.8,1393.1,1.4,-0.1,3.0,0.0,4154.820723700812,10015.0,3338.0
1263,0,South Boston,1222.5,1764.5,799.9,53560.0,649480.0,703040.0,741004.3,1222.5,1380.5,1249.4,1.5,0.6,1.1,0.0,15527.369135264875,10015.0,3338.0
1264,0,South Boston,1169.8,1746.2,800.0,79640.0,518000.0,597640.0,563088.9,1169.8,2157.3,1528.4,0.2,0.4,2.8,0.1,3383.4874202372303,10015.0,3338.0
1265,0,South Boston,1244.7,2006.0,0.0,0.0,724590.0,724590.0,763718.2,1244.7,1244.7,1244.7,3.0,1.0,1.0,0.0,581.6006909344055,10015.0,3338.0
1266,0,South Boston,1241.9,2004.4,0.0,0.0,760790.0,760790.0,801872.7,1241.9,1241.9,1241.9,2.8,1.0,1.0,0.0,611.8464092885632,10015.0,3338.0
1267,0,South Boston,1278.4,2004.0,201.5,0.0,723080.0,723080.0,762126.5,1278.4,1278.4,1278.4,3.0,1.0,1.0,0.0,560.4007846576731,10015.0,3338.0
1268,0,South Boston,1133.2,1992.3,0.0,13200.0,568170.0,581370.0,612764.1,1133.2,1367.7,1253.0,2.6,0.8,2.5,0.0,481.18910728947657,10015.0,3338.0
1269,0,South Boston,958.6,2003.0,0.0,0.0,419440.0,419440.0,442090.0,958.6,958.6,958.6,3.0,0.2,5.0,0.0,438.00568922961486,10015.0,3338.0
1270,0,South Boston,1042.8,979.1,200.7,37280.0,276160.0,313440.0,330366.0,1042.8,1106.6,868.7,0.2,-0.4,1.5,0.0,9710.49897302521,10015.0,3338.0
