,Unnamed: 0,Unnamed: 0.1,LAND_SF,YR_BUILT,YR_REMOD,AV_LAND,AV_BLDG,AV_TOTAL,GROSS_TAX,LAND_SF.1,GROSS_AREA,LIVING_AREA,U_INT_CND,AC_final,HEAT_TYP,Tax_Exempt,PPSQFT,n_count,Third_count,neighborhood
1531,0.3337693481578374,,0.0009054463026469523,0.9446207238472979,0.7895389191869112,0.00026666524764453197,0.00022688344383681316,0.00022160343451721698,0.001155039044274561,0.0009054463026469523,0.006949540200605172,0.0061465069288035214,0.25,0.45,0.9,0.0,5.18596519790093e-06,0.4315084641863536,0.43146130994482956,Jamaica Plain
1532,0.3339873555700894,,0.0011308609788520526,0.8694100148735746,0.39598413485374323,0.0003945778939880253,0.0002265477729783444,0.00023730336902775672,0.0015322300678921345,0.0011308609788520526,0.007905203817874793,0.00670002876112889,0.175,0.35,0.6,0.1,9.874543100002543e-05,0.4315084641863536,0.43146130994482956,Jamaica Plain
1533,0.3342053629823414,,0.003422568086016347,0.9436787307882994,0.6963807635101635,0.002330743856310716,0.0007164625167882017,0.0009080560662069509,0.009249055725080437,0.003422568086016347,0.0400843721433968,0.03502592016509683,0.0,0.5,0.6571428571428571,0.0,2.452331596730258e-06,0.4315084641863536,0.43146130994482956,Jamaica Plain
1534,0.3344233703945934,,0.000573663254146236,0.939514129895885,0.7940009915716411,0.00014268744311379336,0.0001928424272864725,0.00017631676610919302,0.0009294381492990304,0.000573663254146236,0.003739824857465175,0.0034473620909982556,0.8,0.5,1.0,0.0,7.994981601757676e-06,0.4315084641863536,0.43146130994482956,Jamaica Plain
1535,0.33464137780684544,,0.0015317150821619397,0.9467030242935052,0.5954387704511651,0.0005873237266376129,0.00029204687172252784,0.0003187135147779533,0.0018618564677759853,0.0015317150821619397,0.014245878479997871,0.009188584674322242,0.1,0.5,0.6857142857142857,0.0,2.2305184450733314e-06,0.4315084641863536,0.43146130994482956,Jamaica Plain
1536,0.33485938521909747,,0.0012392809666370499,0.856370847793753,0.29702528507684683,0.0005284567431784612,0.0002656830035741853,0.0002882853288119127,0.0014872239944736607,0.0012392809666370499,0.010292869212314835,0.007295118218631649,0.0,0.6,0.6142857142857142,0.0,5.608039435120601e-05,0.4315084641863536,0.43146130994482956,Jamaica Plain
1537,0.33507739263134945,,0.0026210176959726786,0.9532473971244423,0.8930589985126425,0.0008995059321084565,0.00023225507926695398,0.0003054311112979836,0.0012409331979156193,0.0026210176959726786,0.01456877817904123,0.010324358903433821,0.0,0.4,0.38571428571428573,0.1,1.9684994193730024e-06,0.4315084641863536,0.43146130994482956,Jamaica Plain
1538,0.3352954000436015,,0.0010873036038467265,0.947397124442241,0.7959841348537432,0.00027128281858515725,0.0002606378417171719,0.0002517150371603022,0.001305044373241156,0.0010873036038467265,0.006104406589652328,0.0051201533600853605,0.175,0.5,0.7857142857142857,0.0,5.0065887904753784e-06,0.4315084641863536,0.43146130994482956,Jamaica Plain
1539,0.3355134074558535,,0.002080075078605806,0.8670798215171046,0.7945463559742191,0.0004615471853534705,0.0002660480095649844,0.0002802386212477019,0.0011718854026755657,0.002080075078605806,0.009883066314201775,0.008321166143047036,0.3,0.4,0.2857142857142857,0.2,0.00042350359987578933,0.4315084641863536,0.43146130994482956,Jamaica Plain
1540,0.33573141486810554,,0.001326711349799915,0.8487357461576599,0.2977689638076351,0.0005046222192196536,0.00033505770611263726,0.0003460062687705732,0.0017747678102226876,0.001326711349799915,0.00983336854723379,0.007790567633429784,0.2,0.6,0.38571428571428573,0.0,0.00013998370824778062,0.4315084641863536,0.43146130994482956,Jamaica Plain
1541,0.3359494222803575,,0.0015322411374156272,0.9446207238472979,0.2987605354486862,0.0005722641439033151,0.0002252854004805215,0.0002584159368686463,0.0013384255992206814,0.0015322411374156272,0.007586377706287827,0.004954799792284132,0.1,0.65,0.7142857142857143,0.0,3.0394370101137873e-06,0.4315084641863536,0.43146130994482956,Jamaica Plain
1542,0.33616742969260954,,0.0013453863113058217,0.8482895389191869,0.09866137828458106,0.0006276480730317409,0.0002693542232497587,0.000303900003052223,0.0013664776721582336,0.0013453863113058217,0.00999821305296913,0.007218707142937921,0.0,0.5,0.7571428571428571,0.1,6.365234799597872e-05,0.4315084641863536,0.43146130994482956,Jamaica Plain
1543,0.3363854371048616,,0.0006591472328704573,0.9471988101140307,0.7929102627664849,0.00020889912809643214,0.0002507011667700229,0.00023522051480130127,0.001222875182476476,0.0006591472328704573,0.005315760058094789,0.004733818961377869,0.475,0.5,0.7857142857142857,0.0,6.401851619472931e-06,0.4315084641863536,0.43146130994482956,Jamaica Plain
1544,0.3366034445171136,,0.001014550162261743,0.951165096678235,0.986465047099653,0.0001681793624908449,0.00021765105251749718,0.00020121108190165201,0.001053452763588279,0.001014550162261743,0.0036607972608111656,0.0036261640081215805,0.35,0.5,1.0,0.0,5.77965906938108e-06,0.4315084641863536,0.43146130994482956,Jamaica Plain
1545,0.3368214519293656,,0.0028198665818665596,0.6591472483886961,0.39593455627169066,0.0006838299917815903,0.00023274043143587888,0.0002788886056055193,0.0018951904605102818,0.0028198665818665596,0.0075307053443838,0.0052653344039034445,0.0,0.4,0.5571428571428572,0.0,0.002702722748596887,0.4315084641863536,0.43146130994482956,Jamaica Plain
1546,0.3370394593416176,,0.0008896120395109579,0.9616261774913237,0.3986117997025285,0.00021617652422222409,0.0002546385667037087,0.00023957557363843543,0.00124457065499031,0.0008896120395109579,0.004739754791760925,0.004222170398532663,0.6,0.8,0.34285714285714286,0.0,5.952361960158473e-06,0.4315084641863536,0.43146130994482956,Jamaica Plain
1547,0.33725746675386964,,0.0008820368438578578,0.9622211204759543,0.29940505701536935,0.0002588313200115479,0.0002973728814038188,0.00028230038394524813,0.0014574088785089276,0.0008820368438578578,0.005858361907286235,0.004736264115800068,0.5,0.85,0.5,0.0,5.893262587583657e-06,0.4315084641863536,0.43146130994482956,Jamaica Plain
1548,0.33747547416612167,,0.04721324859635307,0.9538919186911254,0.7902825979176995,0.006714182454584947,0.0026515121413123338,0.0031492613891218615,0.036511244616707406,0.04721324859635307,0.06856879664597103,0.0599276784450774,0.04999999999999999,0.2,0.17142857142857143,0.0,4.1902335781478485e-06,0.4315084641863536,0.43146130994482956,Jamaica Plain
